Rating,Comment
1.0 out of 5 stars,"I was loving my instant pot, bragging to all about it. Making my dogs food was so easy! I put in the food and the water, pressed pressure cook and like magic it was just done when it beeped.  Getting used to the pressurization wasn't hard at all.  It wasn't really difficult to use.Until last week... My pot just didn't turn on! I tried other outlets and other electronics so it was not the outlet. I moved the pot to a different outlet, nothing. It was the pot. The manual gave explicit troubleshooting directions based on what is wrong. Not turning on meant that the circuit board blew and it advised to call support, which I did. When you call, an automated message tells you to go online and put in a ticket- because this is clearly a company that doesn't want to be bothered 'talking' to their customers. So I do this. A day later no response! So I email again asking for help. This time I email them the same information. Didn't hear from them until Friday! I needed my pot fixed on Tuesday.... On Thursday though I had had enough and called Amazon who thankfully knows how to treat customers and were able to refund me the product and I shipped it back to them. The pot was less than a year of purchase and within warranty after all! Even Amazon tried getting ahold of the company and they couldn't get a response!Beware of this brand! I would look for another pressure cooker because when it breaks, and it likely will, you won't be getting help for days....My first attempt to post this review Amazon blocked for an unknown reason. It should be posted though people should know what kind of company this is..."
1.0 out of 5 stars,"Im not sure what happened here, because i know this is a good product. I attempted to cook food, my first run, and 15 minutes later The entire machine is in smokes. Quickly filled my kitchen and house with a horid smoke of burnt plastic. There were sparks coming off the bottom of the machine while it was turned on . I quickly unplugged the machine and turned it over to inspect the counter . I ask myself what would have happened if it had caught fire, or exploded in my face . The sound it was making seemed like it was going to.  As you see the plastic melted, it was liquid all over my counter, and it was not easy to clean off the counter or my tainted hands. The bottom of the machine and remaining wires where bright, scolding red. I ruined kitchen towels, had to shower again before going to work. I was running late because of the ordeal i had to deal with. Forced to eat out with my wife because, just wasted the food being cooked wich was about to be amazing. . . . The worst thing is i am writing this and the machine goes in smokes for no reason. What do i do? This thing is just going in smokes unplugged. This is terriblleee."
5.0 out of 5 stars,"I use this for everything! How did I live without this before???I live in a Sprinter van full-time and was using an induction burner for cooking, but since I've gotten this little gem, I haven't used the induction burner once!This is so easy to use, and it's the perfect size for one or two people. I've been making a lot of stews, and I'll saute the onions, carrots, and meat (if I'm using meat) then add everything else, seal it, and set it for 7 minutes on high pressure. I let it release naturally and have a perfectly cooked, tasty meal every time. This gives me enough for 4 or 5 servings.I also quick soaked beans the other day by covering them with water, hitting pressure for 5 min. then letting it release naturally and let it sit (not on keep warm) for a couple of hours.I'll often make dinner right after I reheat my lunch, and make sure the keep warm function is on. I'm able to drive with it in my sink and have a hot, healthy, delicious meal waiting for me when I'm done driving.I've even baked banana bread in it!!! So exciting, because I don't have an oven. It turned out SO good! I used one of the containers and the lid from my To-Go Ware stainless steel lunch container to bake it in on the rack.Because this cooks so quickly, it is very easy on my solar system. I can reheat leftovers on saute in 4 minutes, and it's only drawing 67a while it's on.I did have a VitaClay, that I absolutely loved for making beans, and especially bone broth, but it takes much longer to cook and is heavier. So, more battery drain, more storage space, and more weight as compared to the Instant Pot Mini and the Mini wins on each count!"
1.0 out of 5 stars,"This pot is designed to not work. The surface area of the pressure indicating valve is too small for the weight of the valve to be lifted by steam pressure. Result? The valve stays open and the pot simply boils away the liquid inside and does not build pressure. The ""solution"" is to use an implement of some sort to manually pull the indicating valve up into a sealed position once the pot starts to make steam. If this is not done, the valve will not lift and seal and water will simply boil away. It is important to note that this is not due to a dirty valve, a sticky valve, insufficient liquid or any malfunction. Rather, it is designed into the pot. Ours will be relegated to stock pot duty as we have found it to be totally unusable as a pressure cooker."
5.0 out of 5 stars,"I was chatting with a friend who just got a ninja foodi, saying how I love my instant pot but wished I had the Duo Crisp version.  I had just bought a 3quart air fryer, but liked the idea of returning that one and using my instant pot to do it all.  I also was excited that this air fryer mechanism is branded by and designed for this instant pot.  I happened to find this when it was still in stock and got it!  OMG this is amazing!I did some quick comparisons between air fried things using this lid and in my other air fryer (chicken tenders, mozzarella sticks), and they both come out the same!  There are a few differences to note:1 - The air frying basket included with this lid seems a little on the narrow side.  The one on my air fryer is a bit wider and shorter.  However, this lid comes with a rack you can use, so you essentially get two levels to air fry on!  I love that!2 - You don't *have* to use the air fryer basket that comes with the lid - you can use ANY oven safe item that fits in the regular pot (or just use the stainless steel pot that comes with the instant pot).  I'm currently searching for a multi rack that can fit in this thing so I can use it as a dehydrator rack.3 - The ""turn now"" feature on the lid is pretty neat.  Nice little halfway point reminder (which is easier to me than remembering to do so.Another bonus is that the things people miss about the duo crisp (cough cough, yogurt function) aren't things I have to give up just to have an instant pot that air fries.Only ""negative"" is that you can't just keep the instant pot plugged in while you use the lid.  In fact ,the plug on the lid has this webbing type of thing that prevents you from using the other plug in the outlet.  If you're air frying things that shouldn't be a problem, but if you're doing something like dehydrating, which takes a while, you'll have a plug out of commission.Really excited to experiment with new things!Minor edit: one annoyance is that unlike a conventional air fryer, there’s no easy way to pour things from the air basket to a plate. You have to either use tongs/a spatula to remove the food or oven mitts to lift the basket out of the instant pot liner"
1.0 out of 5 stars,Just worked a year! The light is on but no heat. I called the customer service and got the answer was if it is over a year warranty that I need buy a new pot base as almost the whole cooker's price.  Very disappointed!
5.0 out of 5 stars,"UPDATED - So I finally got the 6QT and oh. my. g... - so wonderful! Such a relief! I can cook 5 lbs of frozen chicken in ONE cycle and have food for my dog for the next week! Yay! And last night I finally made that famous ""soccer mom spaghetti"" (dump a box of pasta, one jar of sauce, a bag of frozen meatballs plus a jar of water in the pot then push a button) and - perfect. I made this same thing in the 3qt about a few times and it never came out right - first the pasta didn't cook, next time the sauce was too watery, etc. With the 6QT - cooked perfectly! And I have FIVE portions of leftovers instead of the 1-2 I had with the smaller I.P.To put the 3qt vs 6qt in perspective: the 3qt pot does not actually cook 3 quarts because you can't fill it all the way to the top. There's a line that's oh, an inch or two below the lip that's the Max Fill line, because the pressure cooker needs extra room to do its thing. Then, if you're adding the trivet, you're losing another inch of space. So really your cooking space is more like 2 quarts, like a small sauce pan.Imagine you're cooking ALL of your meals with nothing bigger than a sauce pan.Then you've got the 6qt pot, which is like the big pots you use to boil pasta. Or make soup.Pasta pot vs sauce pan. You see what I'm saying?Anyway, now my problem is that I have to stop cooking so often because I have no more room in my freezer...  :)********ABOUT THE 3 QT DUO --- As Instant Pots go, I'll not reiterate what everyone else says but agree that it's a game changer, and totally revolutionizes your cooking. However, I have some regrets...3QT Too Small for Lazy Cooks Like Me --- When I to move into my Airstream trailer full time, I decided to get an Instant Pot as I thought it would help minimize the amount of cooking appliances I needed. And of course, being solo (plus a dog and cat) I figured the 3Qt was the better choice. After 7 months with it, I am desperate to trade my 3Qt for the 6QT. I like cooking, but I'm lazy and would prefer to make a large batch once and have left overs, than have to cook for every meal. Reheating leftovers is far easier to clean up than cooking a fresh meal. I'm lazy at cleaning, too.Instant Pot Learning Curve --- Instant Pot cooking takes some getting used to, and while there is a great abundance of tips and such online, which are fabulous, about 95% of them are for 6QT or larger. Finding good, appropriate recipes for the 3QT is frustrating and has led to lots of failed meals, as ingredients plus liquids, cooking time, etc are all out of proportion.Where Are All The Accessories for 3QT? --- In the same vein as above, there are tons and tons of accessories for the Instant Pot, but... they're all for 6QT, not a lot for 3QT. I'm starting to see more 3QT-sized accessories (like steam baskets, gaskets, lids, egg bites silicone molds, etc), but only from, like, a single manufacturer. As opposed to stuff for the 6 qt, where you've got a dozen steam baskets to choose from.Home Cooked Dog Food --- Finally, as I'm traveling a lot city to city, I've started making food for my dog (an 80lb Labrador) as we could never find the brand of dog kibble that she liked and that was good for her. In this situation, the Instant Pot has been my savior, as it's soooo easy to just plop a bunch of raw, frozen chicken or other meats into the pot, slap on lid, push a button and within the hour, I've got tons of fall-off-the-bone meat for my pup's next breakfast (because I inevitably forget to cook for her the night before, and have to do it right at her mealtime). But normal instances when making a batch of her food, again, because I have the 3QT, I could only cook a portion of the meat, take it out, do a quick scrub of the pot before cooking the other portion - whereas with a 6QT that could be done with just one cycle.In short, if you're thinking about getting a 3Qt for your first and only Instant Pot, don't! Just go for the 6Qt and make your life much easier."
1.0 out of 5 stars,"I was so excited to finally be able to purchase my instant pot for my birthday but was disappointed when it came. The first thing I noticed when I opened the lid was that it smelled like it had been used and the inner pot had water spots. I emptied the box it came in and it was missing all of the accessories listed on the box as well as the condensation collector, which the manual stated must be installed before use."
1.0 out of 5 stars,Had just over one year. Very disappointed. This electrical failure happened when I was cooking chicken a week ago. We started to smell something like plastic and this is what happened. Very scared what might have happened if we had not been home. Nothing seems to last anymore.
2.0 out of 5 stars,"2 Malfunctioning (and one damaged) 8 qt Duo units were shipped to me.  Not until they sent me one from different stock did I get a properly functioning one.  LOOK OUT for faulty steam release valve/handles.  If you have the steam release handle pointing to the “sealing” position, steam should NOT be escaping from it while you do the “water test” and the pot comes up to pressure, or while it is cooking at pressure.  You should only be having steam escape out of that valve when you turn it toward “venting.”  This is seperate from the pink float valve.  It is normal for some steam to escape from the pink float valve until it pops up & the pot comes to pressure.If the steam only stops coming out of the steam release valve/handle by pushing it past the spot marked “sealing,” where it feels like it’s NOT supposed to go, or if it keeps coming out no matter what you do, then learn from me: YOU have a DEFECTIVE one!  When I talked with the Instant Pot technical support with my last one, they told me to turn it off, unplug it, and not attempt to use it again.I ordered mine during the pre-holiday/ Black Friday sales (Nov 2017).  The first I was shipped came badly dented in (probably shipping damage since the outside box was bashed in, too.)  The next two I was sent were BOTH defective.  It wasn’t until I requested I be sent a replacement from different stock, that I got a properly functioning one!  I’m so relieved to finally have a functioning one as of today, January 29th, 2018, two months later!  4th time’s the charm, I guess?  Seriously, it took them sending me 4 Instant Pots, and a lot of headache & my time before I got a properly functioning one.  I will say, that they did at least cover the shipping (as was Amazon’s responsibility since it was an Amazon fulfilled order) for all the replacements, and did even over-night ship one of the times (the third pot...by the fourth, I got the sense the customer service person suspected it was MY fault, so they seemed less eager to help.  I do have pictures & proof of the problematic units they shipped me, and verification that it was NOT user error or my fault.  I’m just so relieved that my 4th one works so I don’t have to deal with this anymore!)So, Quality Control Issues.IF you get a functioning unit, these really are nice.  Seems everyone around me has one & loves them.  I may not have figured out that my second unit was defective, if it hadn’t been for me brining it to a group get-together where two other friends cooked the exact same recipe (with no problem) in their Instant Pots, while mine malfunctioned with it because of the defective steam release valve/handle, which caused the subsequent “burn” code when trying to come up to pressure.  I had suspected it might be defective before, but was having a hard time ruling out novice user error, or bad recipes, etc.Pictures: 1) First one came dented in.  2 & 3) pictures from one of the units with defective steam release valve, in case Instant Pot sees this and wants that info. to help correct manufacturing/quality control problem.  4) Shows manual saying that the problem indicates “pressure control fails”and to “contact support.”  Also shows where I wrote ticket number from my call with Instant Pot technical support.If I knew how to post videos, I have video of what it looks & sounds like doing the “water test” with the defective steam release valve.  Basically, it noisily spits steam and water out the steam release valve, even when it is in “sealing” position.Hope my very bad luck helps things go better for someone else, especially if there are any other defective units still getting shipped to people!"
